[属性描述]
格式版本号=
数据产生单位=国土资源部
数据产生日期=2020-06-04
坐标系=2000国家大地坐标系
几度分带=3
投影类型=高斯克吕格
计量单位=米
带号=40
精度=3
转换参数=0,0,0,0,0,0,0
[地块坐标]
33,13778.7873,1,地块1,面,,土地开垦,,提质改造,水田,7,6,@
J15,1,3365519.937,40586540.183
J16,1,3365517.996,40586546.396
J17,1,3365518.210,40586548.293
J18,1,3365519.769,40586550.140
J19,1,3365529.268,40586553.162
J20,1,3365536.657,40586555.512
J21,1,3365537.220,40586555.690
J22,1,3365538.179,40586555.992
J23,1,3365538.560,40586556.113
J24,1,3365573.346,40586567.151
J25,1,3365573.467,40586566.770
J26,1,3365575.019,40586566.303
J27,1,3365576.155,40586560.856
J1,1,3365590.352,40586488.925
